200 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV), Fluence (cm⁻² keV⁻¹)
40.8, 13590631.27
40.9, 13586420.53
41.0, 13581973.77
41.1, 13577293.68
41.2, 13572375.22
41.3, 13567225.33
41.4, 13561860.73
41.5, 13556285.3
41.6, 13550506.5
41.7, 13544516.09
41.8, 13538401.05
41.9, 13532118.03
42.0, 13525543.92
42.1, 13518721.28
42.2, 13511682.35
42.3, 13504432.51
42.4, 13496978
42.5, 13489329.08
42.6, 13481497.32
42.7, 13473430.29
42.8, 13465151.46
42.9, 13456682.58
43.0, 13448034.15
43.1, 13439202.66
43.2, 13430207.94
43.3, 13421052.35
43.4, 13411720.95
43.5, 13402226.19
43.6, 13392549.93
43.7, 13382692.64
43.8, 13372800.24
43.9, 13362784.73
44.0, 13352512.86
44.1, 13342027.52
44.2, 13331387.8
44.3, 13320588.05
44.4, 13309635.88
44.5, 13298539.4
44.6, 13287265.78
44.7, 13275785.37
44.8, 13264167.48
44.9, 13252414.19
45.0, 13240503.25
45.1, 13228439.9
45.2, 13216234.41
45.3, 13203886.18
45.4, 13191397.13
45.5, 13178779.85
45.6, 13166019.15
45.7, 13153136.49
45.8, 13140298.25
45.9, 13127364.89
46.0, 13114220.29
46.1, 13100884.06
46.2, 13087434.18
46.3, 13073885.35
46.4, 13060217.41
46.5, 13046442.82
46.6, 13032483.69
46.7, 13018399.38
46.8, 13004221.41
46.9, 12989956.33
47.0, 12975593.28
47.1, 12961129.04
47.2, 12946560.1
47.3, 12931890.56
47.4, 12917123.51
47.5, 12902246.81
47.6, 12887250.39
47.7, 12872173.92
47.8, 12857218.96
47.9, 12842173.72
48.0, 12826965.92
48.1, 12811624.88
48.2, 12796195.31
48.3, 12780674.21
48.4, 12765065.49
48.5, 12749326.91
48.6, 12733475.86
48.7, 12717553.73
48.8, 12701551.26
48.9, 12685469.82
49.0, 12669324.65
49.1, 12653117.06
49.2, 12636839
49.3, 12620495.72
49.4, 12604082.41
49.5, 12587576.2
49.6, 12570987.98
49.7, 12554345.73
49.8, 12537899.73
49.9, 12521371.77
50.0, 12504272.15
50.1, 12486610.2
50.2, 12468887.19
50.3, 12451104.21
50.4, 12433283.59
50.5, 12415358.77
50.6, 12397384.53
50.7, 12379365.31
50.8, 12361299.71
50.9, 12343185.38
51.0, 12325039.43
51.1, 12306868.02
51.2, 12288663.47
51.3, 12270423.39
51.4, 12252141.27
51.5, 12233768.33
51.6, 12215345.93
51.7, 12196923.15
51.8, 12178689.89
51.9, 12160420.31
52.0, 12142026.86
52.1, 12123537.04
52.2, 12105019.85
