160 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV),Fluence (cm⁻² keV⁻¹)
40.1, 11591866.7
40.2, 11579979.79
40.3, 11567940.6
40.4, 11555734.39
40.5, 11543368.87
40.6, 11530850.87
40.7, 11518176.52
40.8, 11505365.22
40.9, 11492425.98
41.0, 11479353.03
41.1, 11466130.58
41.2, 11452773.21
41.3, 11439289.61
41.4, 11425762.31
41.5, 11412164.78
41.6, 11398344.86
41.7, 11384345.23
41.8, 11370237.8
41.9, 11355976.06
42.0, 11341566.37
42.1, 11327040.35
42.2, 11312403.71
42.3, 11297681.99
42.4, 11282843.51
42.5, 11267894.45
42.6, 11252841.52
42.7, 11237686.06
42.8, 11222425.99
42.9, 11207064.11
43.0, 11191714.48
43.1, 11176305.73
43.2, 11160734.85
43.3, 11145027.59
43.4, 11129216.14
43.5, 11113251.68
43.6, 11097203.88
43.7, 11081088.11
43.8, 11064890.85
43.9, 11048604.27
44.0, 11032237.46
44.1, 11015783.82
44.2, 10999269.04
44.3, 10982681.94
44.4, 10966000.35
44.5, 10949247.71
44.6, 10932558.34
44.7, 10915855.16
44.8, 10899005.55
44.9, 10882045.29
45.0, 10864959.23
45.1, 10847743.63
45.2, 10830473.49
45.3, 10813135.43
45.4, 10795747.4
45.5, 10778303.37
45.6, 10760807.89
45.7, 10743262.31
45.8, 10725665.68
45.9, 10708018.52
46.0, 10690299.09
46.1, 10672564.38
46.2, 10654958.51
46.3, 10637324.07
46.4, 10619547.37
46.5, 10601660.57
46.6, 10583664.82
46.7, 10565619.42
46.8, 10547541.34
46.9, 10529425.99
47.0, 10511268.18
47.1, 10493099.86
47.2, 10474888.43
47.3, 10456636.54
47.4, 10438366.08
47.5, 10420053.16
47.6, 10401703.49
47.7, 10383329.67
47.8, 10365114.14
47.9, 10346870.68
48.0, 10328520.41
48.1, 10310049.57
48.2, 10291507.66
48.3, 10272940.65
48.4, 10254344.3
48.5, 10235719.58
48.6, 10217066.39
48.7, 10198399.72
48.8, 10179717.31
48.9, 10161024.18
49.0, 10142333.36
49.1, 10123591.26
49.2, 10104799.13
49.3, 10086016.42
49.4, 10067443.81
49.5, 10048834.79
49.6, 10030121.09
49.7, 10011249.24
49.8, 9992349.754
49.9, 9973451.907
50.0, 9954219.635
50.1, 9934641.888
50.2, 9915059.975
50.3, 9895477.41
50.4, 9875925.682
50.5, 9856393.868
50.6, 9836865.833
50.7, 9817295.81
50.8, 9797703.902
50.9, 9778133.235
51.0, 9758784.995
51.1, 9739427.84
51.2, 9719968.082
51.3, 9700398.819
51.4, 9680829.785
51.5, 9661267.709
51.6, 9641725.114
51.7, 9622191.127
51.8, 9602668.292
51.9, 9583180.559
52.0, 9563704.927
52.1, 9544248.392
52.2, 9524800.327
52.3, 9505309.451
52.4, 9485815.809
52.5, 9466373.845
52.6, 9447124.015
52.7, 9427888.69
52.8, 9408517.141
52.9, 9389095.493
53.0, 9369684.17
53.1, 9350295.825
53.2, 9330929.592
53.3, 9311595.921
53.4, 9292279.994
53.5, 9272975.215
53.6, 9253684.371
53.7, 9234410.937
53.8, 9215187.338
53.9, 9195925.459
54.0, 9176685.255
54.1, 9157518.032
54.2, 9138512.507
54.3, 9119494.119
54.4, 9100367.054
54.5, 9081216.113
54.6, 9062082.815
54.7, 9042968.971
54.8, 9023888.379
54.9, 9004837.298
55.0, 8985806.623
55.1, 8966804.244
55.2, 8947827.184
55.3, 8928871.981
55.4, 8909929.431
55.5, 8890974
55.6, 8872040.926
55.7, 8853195.674
55.8, 8834498.742
55.9, 8815758.024
56.0, 8796940.841
56.1, 8778112.011
56.2, 8759319.761
56.3, 8740559.445
56.4, 8721835.8
56.5, 8703135.574
56.6, 8684455.869
56.7, 8665800.366
56.8, 8647167.6
56.9, 8628561.748
57.0, 8609972.593
57.1, 8591370.626
57.2, 8572808.053
57.3, 8554342.977
57.4, 8535981.384
57.5, 8517588.16
57.6, 8499151.221
57.7, 8480726.716
57.8, 8462328.155
57.9, 238056684.3
58.0, 8425599.823
58.1, 8407273.532
58.2, 8388974.114
58.3, 8370718.703
58.4, 8352493.161
58.5, 8334297.174
58.6, 8316107.719
58.7, 8297915.229
58.8, 8279755.872
58.9, 8261715.505
59.0, 8243740.066
59.1, 8225784.785
59.2, 8207773.62
59.3, 416198061.7
59.4, 8171791.57
59.5, 8153846.527
59.6, 8135937.042
59.7, 8118053.362
59.8, 8100201.487
59.9, 8082384.023
60.0, 8064481.754
60.1, 8046496.645
60.2, 8028523.858
60.3, 8010564.689
60.4, 7992642.308
60.5, 7974837.273
60.6, 7957080.198
60.7, 7939360.936
60.8, 7921595.568
60.9, 7903841.477
61.0, 7886116.294
61.1, 7868420.111
61.2, 7850761.22
61.3, 7833139.685
61.4, 7815552.988
61.5, 7798013.038
61.6, 7780508.803
61.7, 7763040.345
61.8, 7745564.32
61.9, 7728112.563
62.0, 7710703.567
62.1, 7693381.817
62.2, 7676126.508
62.3, 7658905.788
62.4, 7641637.848
62.5, 7624392.261
62.6, 7607182.296
62.7, 7590013.698
62.8, 7572888.811
62.9, 7555794.138
63.0, 7538729.733
63.1, 7521695.645
63.2, 7504693.762
63.3, 7487724.123
